track_id,artist,track_name,sound
M101,The Streets,Fit But You Know It,"Observational UK garage/indie / Stage 1 (Carefree, cheeky observations on a night out, pre-connection)"
M102,Blur,Parklife,"Britpop anthem, character study / Stage 1 (Everyday life, lad culture, carefree observations before a specific need arises)"
M103,Franz Ferdinand,Take Me Out,"Art-rock, dance-punk / Stage 3 (Energetic pursuit, building tension and excitement of a new encounter)"
M104,The Killers,Mr. Brightside,"Indie rock anthem / Stage 4 (Jealousy, emotional turmoil, challenges in an early relationship)"
M105,LCD Soundsystem,All My Friends,"Dance-punk, reflective anthem / Stage 4 or 7 (Introspection on passing time, friendships, and life changes during/after the main 'search')"
M106,Pulp,Disco 2000,"Britpop, nostalgic storytelling / Stage 2 or 4 (Yearning for a past connection, reflecting on what could be, emergence of need for something more)"
M107,New Order,Bizarre Love Triangle,"Synth-pop, melancholic dance / Stage 4 (Confusion and emotional pain in relationships, the search for clarity)"
M108,The Smiths,This Charming Man,"Indie pop, jangle pop / Stage 3 (A pivotal encounter, a slightly awkward but hopeful start to a pursuit)"
M109,David Bowie,Heroes,"Art rock, anthemic ballad / Stage 5 or 6 (Finding profound connection, embracing a moment of triumph or commitment against odds)"
M110,Oasis,Don't Look Back In Anger,"Britpop anthem / Stage 7 or 8 (Mature reflection, moving on with a new perspective, acceptance)"
M111,Beastie Boys,(You Gotta) Fight For Your Right (To Party!),"80s Rap-Rock Anthem / Stage 1: Embodies the immature, fun-loving, slightly rebellious but ultimately harmless carefree lad stage."
M112,The Cure,Just Like Heaven,"Dream Pop/New Wave / Stage 2: A sudden, overwhelming sense of wonder and infatuation upon seeing 'her'. The dawning 'need'."
M113,The Knack,My Sharona,"Power Pop/New Wave / Stage 3: Captures the driving, almost obsessive energy of early pursuit. Goofy and direct."
M114,R.E.M.,Losing My Religion,"Alternative Rock / Stage 4: Reflects internal turmoil, confusion, and self-doubt during the 'search'."
M115,Modern English,I Melt With You,"New Wave/Post-Punk / Stage 5: A moment of euphoric realization and connection. He 'finds' that deeper connection."
M116,Simple Minds,Don't You (Forget About Me),"New Wave Anthem / Stage 6: He's 'taken' the plunge. A plea for recognition and a declaration of his changed state."
M117,James,Laid,"Indie Rock/Britpop-adjacent / Stage 7: A more comfortable, cheeky but now more mature integration of the relationship into his life."
M118,U2,With Or Without You,"Arena Rock Ballad / Stage 8: Signifies a profound, emotionally mature understanding of love and commitment."
M119,The Fratellis,Chelsea Dagger,"Indie Rock/Pub Anthem / Stage 1: Boisterous, chant-along energy. Lad out with mates, full of bravado."
M120,The Police,Every Little Thing She Does Is Magic,"New Wave/Pop-Rock / Stage 2: Sees 'her', simple things seem extraordinary. Initial, bewildered infatuation."
M121,Kaiser Chiefs,I Predict A Riot,"Indie Rock/Post-Punk Revival / Stage 3: High-energy, slightly chaotic, pursuit amidst a lively scene."
M122,The Verve,Bitter Sweet Symphony,"Britpop/Orchestral Rock / Stage 4: Sweeping strings, melancholic yet determined pace of life's challenges during the 'search'."
M123,Arctic Monkeys,Mardy Bum,"Indie Rock / Stage 5: Conversational, affectionate, 'found' a real, imperfect connection. Values their dynamic."
M124,Snow Patrol,Chasing Cars,"Alternative Rock Ballad / Stage 6: Quiet intimacy and vulnerability. 'Taking' the step towards deep emotional honesty."
M125,Stereophonics,Dakota,"Alternative Rock/Post-Britpop / Stage 7: Looking back on a journey with accomplishment and renewed hope. 'Returned' richer."
M126,Elbow,One Day Like This,"Orchestral Indie Rock / Stage 8: Anthemic celebration of simple happiness and profound contentment. Mature appreciation."
M127,The Libertines,Can't Stand Me Now,"Indie Rock/Garage Rock Revival / Stage 1: Chaotic, freewheeling, self-assured (rough-around-the-edges) lifestyle."
M128,The La's,There She Goes,"Jangle Pop/Britpop Precursor / Stage 2: Sees her, instant, pure captivation. Dawning of a powerful new 'need'."
M129,Supergrass,Alright,"Britpop/Power Pop / Stage 3: Youthful, exuberant, optimistic 'go' phase. Believing things will work out."
M130,Radiohead,Creep,"Alternative Rock / Stage 4: Intense self-doubt and feelings of inadequacy during the 'search'."
M131,Travis,Why Does It Always Rain On Me?,"Britpop/Post-Britpop / Stage 5: 'Finds' connection is essential through fear of loss. Highlights its value."
M132,The Postal Service,Such Great Heights,"Indie Pop/Electronic / Stage 6: Hopeful, giddy acceptance of a new, profound relationship. 'Taking' the leap."
M133,Death Cab for Cutie,I Will Follow You Into The Dark,"Indie Folk/Acoustic / Stage 7: Quiet, profound declaration of lifelong commitment. 'Returned' with changed perspective."
M134,Coldplay,Yellow,"Alternative Rock / Stage 8: Sweeping, heartfelt, sincere expression of devotion. 'Change' is complete."
M135,Jamie T,Sheila,"Indie Rock/Punk-Rap Hybrid / Stage 1: Observational, street-smart, cheeky. Immersed in his own world."
M136,The Kooks,Naive,"Indie Rock/Britpop Revival / Stage 2: Realizing he's been a bit clueless, 'need' for something more genuine emerges."
M137,Bloc Party,Banquet,"Indie Rock/Post-Punk Revival / Stage 3: Urgent, angular, driven. Anxious, intense energy of 'going' for it."
M138,Editors,Munich,"Dark Indie Rock/Post-Punk Revival / Stage 4: Urgency, escape, things not going to plan. 'Search' is fraught with difficulty."
M139,Foals,My Number,"Indie Rock/Dance-Punk / Stage 5: 'Finds' this new connection is different and needed, unlike fleeting ones."
M140,The Maccabees,Toothpaste Kisses,"Indie Folk/Gentle Indie Rock / Stage 6: Intimate, tender. 'Taken' step into shared life, comfortable with vulnerability."
M141,Vampire Weekend,A-Punk,"Indie Pop/Afro-Pop influenced / Stage 7: 'Returned' with new, quirky, joyful, more worldly perspective."
M142,Bon Iver,Skinny Love,"Indie Folk/Chamber Pop / Stage 8: Raw, passionate, exposed. Capacity for deep feeling, mature understanding of love."
