Show Number,Artist,Track Title
1,UNKLE,Guns Blazing (Acapella)
1,Push ItThe Stooges,No Fun
1,Felix Da Housecat,Silver Screen Shower Scene
1,Studio 57,"The ""O"" Medley (Mashup)Bobby O - She Has A WayBobby O - I'm So Hot For You"
1,Madonna,Vogue
1,Daft Punk,Aerodynamite
1,Beatles,Sgt. Pepper's Lonely Hearts Club Band (Anthology Version)
1,808 State,Flow Coma (Remix By AFX)
1,I Monster,Uncle Tony Can Drink
1,Lio,Amoureux Solitaires
1,Uncle Tony Can DrinkMissy Elliott,Lick Shots (A Capella)
1,ConnectionMissy Elliott,Lick Shots (A Capella)
1,Apollonia 6,Sex Shooter
1,Serge Gainsbourg,La Horse
1,RomeoThe Clash,Magnificent Seven
1,Linus Loves feat. Sam Obernik,Stand Back
1,Welcome 2 Thee LightThe Jacksons,State Of Shock
1,Malcolm McLaren,Jive My Baby
1,Funk Headz,Guitar Groovez
1,DJ IBR,Come On Bounce
1,Lemon Jelly,Rock
1,Stik-E & The Hoodz,Shake Whatcha Mama Gave Ya
1,Beastie Boys,Sure Shot
1,Jam Master JayRun-D.M.C.,Peter PiperRun-D.M.C. - Here We Go 2001
1,House Of Pain,Jump Around (Instrumental)
1,Mantronix,King Of The Beats
1,I Love A Man In A UniformDestiny's Child,Independent Woman (A Capella)
1,Independent Woman (A Capella)10cc,Dreadlock Holiday
1,Dillinger,Cocaine In My Brain
1,Jackson 5,It's Great To Be Here (Kenny Dope Remix)
1,Royksopp,Eple
1,Malcolm McLaren,Buffalo Gals
1,Par-T-One,I'm So Crazy
1,Zoot Woman,Living In A Magazine
1,Eurythmics,Love Is A Stranger
1,Roxy Music,Dance Away
1,Bon VoyageMalcolm McLaren,El San Juanera
1,Streamer feat. Private Thoughts In Public Places,Start Button
2,Culture Cruncher,Spice
2,Girls On Top,We Don't Give A Damn About Our Friends (Mashup)Adina Howard - Freak Like MeGary Numan - Are 'Friends' Electric?
2,Notorious B.I.G.,Hypnotize (Instrumental)
2,DJ Kool,Let Me Clear My Funk (DJ LBR Remix)
2,Breakestra,Cramp Your Style
2,Hanayo,Joe Le Taxi
2,Miss Kittin & The Hacker,Dirty Talk
2,Blue MondayNew Order,The Beach
2,Basement Jaxx,Jus 1 Kiss (A Capella)
2,Chemical Brothers,It Began In Afrika
2,Bentley Rhythm Ace,How'd I Do That (Chicken Lips 3 Course Dub)
2,The Microbop Ensemble,Groove Baby
2,Dom.I.No,Up The Par
2,BootyliciousNirvana,Smells Like Teen Spirit
2,Dukbreakz,Dubbreaks
2,Scanty Sandwich,This One
2,Incredible Bongo Band,Last Bongo In Belgium
2,Lemon Jelly,Soft
2,Manic Street Preachers,Let Robeson Sing (Felix Da Housecat Glitz Mix)
2,Raven Maize,Real Life (Fatboy Slim Mix)
2,Simple Minds,Theme For Great Cities
2,Kagami,Tokyo Disco Music All Night Long (A Capella)
2,Midfield General,Coatnoise (Dave Clarke Remix)
2,Kurtis Rush,George Gets His Freak On (Mashup)Missy Elliott - Get Ur Freak OnGeorge Michael - Faith
2,Try AgainBusta Rhymes,Put Your Hands Where My Eyes Could See
2,Marsha Hunt,Walk On Guilded Splinters
2,The Flying Lizards,Sex Machine
2,Chemical Brothers,Galaxy Bounce
2,Kid Koala,Almost Easy Listening
3,Intro (Dum dum dum dum),
3,God Only Knows (A Capella)Michael Jackson,Billie Jean (Instrumental)
3,Carlos Morgan,Shake Your Body Down
3,Nasty Habits,Shadow Boxing
3,Six Days (Soulwax Remix)Natural Born Chillers,Rock The Funky Beat
3,Mekon,Please Stay (Royksopp Remix)
3,Inner City,Big Fun (Soulwax Edit)
3,Louie Austen,Grab My Shaft
3,The Clash,Rock The Casbah (Mustapha Dance)
3,Radio Queens Speech,
3,Jeans Team,Keine Melodien (Mj Lan Mix Extended Version)
3,Liaisons Dangereuses,Los Ninos Del Parque
3,The Beatles,Strawberry Fields (Take 7 And Edit Piece)
3,Eberhard Schoener feat. The Police,Why Don't You Answer
3,Jess & Crabbe,In Your Eer
3,Birdy,Oiseau Bleu
3,The Flirts,Passion
3,White Label,E=MC2
3,Caine'd Sugar,A Tribute To…
3,Ural 13 Diktators,Disco Kings
3,Lemon Jelly,The Staunton Lick
3,Eric Matthews,Fanfare
3,Alphawezen,Into The Stars (Firebirds Remix)
3,David Bowie,Modern Love
3,Kenny Loggins,Footloose
3,Givin' UpKosheen,Hide U (A Capella)Nas - Hate Me Now (Instrumental)Natural Born Chillers - Rock The Funky Beat
3,T99,Anasthasia
3,Marilyn Manson,The Beautiful People
3,Janis Ian,Fly Too High
3,Stereo Total,Tu Peux Conduire Ma Bagnole
3,Danmass,Happy Here (Thinking About You)
5,Intro (Dum dum dum dum),
5,Intro (Peter Finch,Rambling Speech from the movie Network)
5,Van Halen,Eruption
5,Daft Punk,Superheroes
5,Queen Of Japan,I Was Made For Loving You
5,New Order,Crystal (Lee Coombs Remix)
5,Vicious Pink,8:15 To Nowhere / Great Balls Of Fire
5,Led Zeppelin,Misty Mountain Hop
5,Vitalic,La Rock 01
5,Twitch,Golden Brown (Twitch's Club Edit)
5,The 10th Planet,Strings Of Life (Ashley Beedle Remix)
5,Hefner,Controversy
5,DJ Phlav,Guest List
5,Jay-Z,I Just Wanna Love U (Give It 2 Me)
5,Richard Ace,Staying Alive
5,Grace Jones,My Jamaican Guy / J. A. Guys (Dub)
5,Shirley Ellis,The Clapping Song
5,Bubba Sparxxx,Ugly
5,The Bangles,Walk Like An Egyptian (A Capella)
5,Axel Bauer,Cargo De Nuit
5,CJ Bolland,Sugar Is Sweeter
5,Felix Da Housecat,Harlot
5,The Human League,The Sound Of The Crowd
5,Deejay Punk-Roc,Blow My Mind (Plump DJs Remix)
5,Sex Pistols,Anarchy In The UK
5,Hot Butter,Popcorn
5,Playgroup,Number One (Felix Da Housecat's Electroretro Remix)
5,Anne Clark with David Harrow,Sleeper In Metropolis
5,Madhouse,Six
5,Cajmere,Horny
5,Michael Jackson,Human Nature (Wedge Boy Mix)
5,White Label,Strung Out
5,Professor Angel Dust & Da PH Force,Oye Como Va (Freddy Fresh Remix)
8,Spiller,Cry Baby (Original Version)
8,Freeez,I.O.U.
8,Agent Sumo,Ain't Got Time
8,Senor Coconut,The Robots
8,Sonic Youth,Kool Thing
8,Jackson 5,Ain't No Sunshine (Say Remix)
8,Copyright,Concepts
8,The Clash,The Guns Of Brixton
8,S.O.S. Band,Just Be Good To Me
8,Dexter,Mr. Blunt
8,Grand Funk Railroad,Nothing Is The Same
8,The Rolling Stones,"Have You Seen Your Mother Baby, Standing In The Shadow"
8,The Prodigy,Poison
8,Spiller,Cry Baby (Royksopp Memorabilia Remix)
8,Bertrand Burgalat,Aux Cyclades Électronique (Tommy Hools Remix)
8,Air,Don't Be Light (The Hacker Remix)
8,Dead Or Alive,U Spin Me Right Round
8,Cerrone,Supernature
8,Adam And The Ants,Stand And Deliver
8,Chemical Brothers,Under The Influence
8,Manuel Mind & Valentine Tomasi,Strange Sounds
8,Robert Palmer,Best Of Both Worlds
8,Syrup,If I Gave You A Party
8,Kiki,Universal
8,Eliott Smith,Angeles
8,Glenn Miller,Moonlight Serenade
6,Intro (Dum dum dum dum),
6,Chemical Brothers,Base 6
6,I'm So CrazyVirgin Prunes,Baby Turns Blue
6,Black Lodge,Horse With No Name
6,Vinyl Fever (Dirty Ali & Funky Farid),Electronic For The Children
6,Japan,Adolescent Sex
6,DJ Neutron,On The Dancefloor
6,Dynamo Productions,Steppin It Up
6,The Marvels,Rock Steady
6,Hip Hop Party Booster,Party Booster For DJs
6,Stretch,Why Did You Do It (Remix)
6,Public Enemy,Fight The Power
6,Lovage,"Lovage (Love That Lovage, Baby)"
6,Sven Vath & Miss Kitten,Je T'Aime Moi Non Plus
6,Serge Gainsbourg,Requiem Pour Un Con
6,Led Zeppelin,Communication Breakdown
6,Sigue Sigue Sputnik,Love Missile F1-11 (DMC's Sigue Sigue Sputmix)
6,Strange Games & ThingsStik-E & The Hoodz,In The Beginning
6,KRS-One,Step Into A World
6,Blondie,Heart Of Glass
6,Kiki,Gas126
6,Kiko,Magnetized
6,Garbage,Cherry Lips (Howie B Remix)
6,The Rolling Stones,Undercover (Of The Night)
6,7 Hurtz with Peaches & Bitch Lap Lap,Sexy Dancer
6,New Order,Confusion (Arthur Baker 12″ Mix)
6,Miss Kitten & The Hacker,Dirty Talk
6,The Bollock Brothers,Horror Movies
6,Tycoon Boy,Do The New Tycoon (Tycoon 6)
6,Les Paul's,6 Strings Of Truth
6,Lovage,Ladies Love Chest Rockwell
6,Pixies,Where Is My Mind
4,Harry Thumann,Underwater
4,Blake Baxter,Brothers Gonna Work It Out (Brothapella)
4,Steve Miller Band,Abracadabra
4,Skymoo,Always & Forever (Felix Da Housecat's Thee Glitz Mix)
4,Polyester,J'Aime Regarder Les Mecs (Maxi Mix)
4,Velvet Underground,Waiting For The Man
4,Felix Da House Cat,Control Freaq
4,The Romantics,Talking In Your Sleep
4,Groove Armada,Disco Insert (Remix)
4,Soul Grabber,Soul Grabber Pt 3
4,Afrika Lady,Planet Resolution
4,Lords Of Acid,I Sit On Acid (Soulwax Remix)
4,2 Live Crew,Me So Horny
4,Vanessa Paradis,Gotta Have It
4,The Human League,Nightclubbing
4,Girls On Top,Being Scrubbed
4,James Brown,Funky Drummer
4,Frank Jojo,Turn Off The Light
4,Steve Miller Band,Fly Like An Eagle
4,Dan Mass,Thinking Of You
4,Kurupt,Its Over
10,Intro (Dum dum dum dum),
10,Barry White,You Gotta Case
10,Daft Punk,Harder Better Faster Stronger (Jess & Crabbe Remix)
10,Chemical Brothers,Base 6
10,The Flying Lizards,Sex Machine
10,The Cat In Da Hat,The Real Box Revamped
10,Thee Jamie Starr Scenario,Welcome 2 Thee Lite
10,Blake Baxter,Brothers Gonna Work It Out
10,De Buffalo's,De Gantoise
10,Running (Intro)Funkacise Gang,Funkacise
10,The Rolling Stones,Too Much Blood
10,Sexafonic,Because (Def Offenders Remix)
10,Wildbunch,Danger! High Voltage
10,Michael Jackson,Billie Jean (Bushwacka! Remix)
10,DJ Hell,Suicide Commando
10,Ray Mang,Playa De Londres
10,Thomas Schumacher ft. Kaori,Good Life
10,La Yellow 357,Quelle Sensation Bizarre
10,Glenn Underground,I Feel Dub (Mashup)Donna Summer - I Feel LoveGiorgio Moroder - The Chase
10,Louie Austen,Grab My Shaft
10,Dj Rollifingaz,Ugly
10,Ice T,You Played Yourself
10,Steve Miller Band,Macho City
10,Freq Nasty,Boomin' Back Atcha
10,Queens Of The Stone Age,Monsters In The Parasol
10,Polyester,J'Aime Regarder Les Mecs (Maxi Mix)
10,Starfighter,Groovin' On Ecstacy (DJ 4T4 Remix)
9,Intro (Dum dum dum dum),
9,The Power GamePolyester,Les Filles de Gand (Maxi Mix)
9,Liquid Liquid,Lock Groove
9,Everyday People,I Like What I Like (Danny Krivit Edit)
9,Jungle Brothers,"What ""U"" Waitin' ""4""?"
9,Eazy-E,Eazy Chapter 8 Verse 10
9,Le Club,Front Page News
9,Fatboy Slim,Drop The Hate (Santos & Laid Remix)
9,Pop Da Funk,R. O. Dance
9,Patrick Cowley ft. Sylvester,Do You Wanna Funk
9,Air,How Does It Make You Feel (Adrian Sherwood Remix)
9,Dave & Ansell Collins,Double Barrel
9,Die Doraus & Die Marinas,Fred Vom Jupiter
9,Quick & Brite,Taking Care Of Business (Bastian Remix)
9,Trans X,Living On Video
9,Timbaland & Magoo,Intro
9,Where's Your Head At (Head-A-Pella)Glimmer Twins,Liquid Jungle
9,Flash & The Pan,Waiting For A Train
9,Steve Yanko,Fever
9,The Hacker,Nothing Lasts (The Oxia Remix)
9,The Shamen,Move Any Mountain (I.R.P. In The Land Of Oz)
9,Roxy Music,Love Is The Drug
9,FC/Kahuna,Hayling
9,Robbie Williams,"Well, Did You Evah"
