Show Number,Artist,Track Title
1,Intro,This is going to be another night of fun and sensation
1,Intro,Dum dum dum dum
1,Mike & Zaki,Mike & Zaki Show (Hang The DJ Edit)
1,Michael Jackson,Dirty Diana (Wackobass Club Mix)
1,Butler Kiev,Rewind Selecta (Mashup)
1,Cylob,Rewind
1,Artful Dodger,Re-Rewind
1,Ralph Myerz & The Jack Herren Band,Nikita
1,Dandy Warhols,Godless
1,Malcom McLaren,Buffalo Gals
1,Mekon feat. Roxanne Shante,What's Going On?
1,Stanton Warriors,Da Antidote
1,Native Force,Music Box
1,LB,Ashes To Ashes
1,DFA,Easy Meat
1,Daft Punk,Crescendolls
1,Phoenix,Funky Squaredance (Part 2)
1,Queen,Body Language
1,Small Faces,What'Cha Gonna Do About It
1,Heaven 17,Fascist Groove Thang
1,Modjo,Lady (Hear Me Tonight)
1,Evolution Control Committee,Rebel Without A Pause (Mashup)
1,Herb Albert,Bittersweet Samba
1,Public Enemy,Rebel Without A Cause
1,Willie Bobo,Its Not Unusual
1,Naughty By Nature,O.P.P
1,Full Force,"Alice, I Want You Just For Me"
1,Missy Elliot,One Minute Man
1,New Edition,Candy Girl (Instrumental)
1,Le Club,Un Fait Divers Et Rien De Plus
1,Dr. John,Right Place Wrong Time
1,Untitled,Mashup
1,Craig Peyton,Be Thankful For What You Got (Instrumental)
1,Missy Elliott,One Minute Man (Vocal)
1,Untitled,Mashup
1,The Croissants,Andy Warhol
1,Rita Mitsouko,Andy (Jesse Johnson Remix)
1,Millionaire,Come With You
2,Intro,Dum dum dum dum
2,Untitled,Mashup
2,Beach Boys,Good Vibrations
2,Missy Elliot,Get Ur Freak On
2,Busta Rhymes,Woo Hah!! Got You All In Check
2,The Undertones,My Perfect Cousin
2,Toni Basil,Hey Mickey
2,Stereo Total,Musique Automatique
2,Maurice Fulton,My Gigolo
2,2 Live Crew,I Can't Go For That
2,Newcleus,Automan (Instrumental)
2,Beny More & Perez Prado,Babarabatiri
2,The Stone Roses,Fools Gold
2,Bobby Byrd,"Hot Pants: I'm Coming, I'm Coming, I'm Coming"
2,The Mirror Boys,Baby's First Boogie (Mammal's Multiplication Mix)
2,Prince,Controversy
2,Untitled,Mashup
2,Reel 2 Real,I Like To Move It
2,Fatboy Slim,Love Island
2,Steril,Klinique
2,Queen Of Japan,White Horse
2,Bros,When Will I Be Famous
2,Untitled,Mashup
2,AC/DC,Back In Black
2,Missy Elliot,Get Your Freak On
2,Redman,Soopaman Luva 5
2,DJ A.P.,We Just Wanna (Make It Hot)
2,Lauryn Hill,Doo Wop (That Thing)
2,Peter Godwin,Emotional Disguise
2,Puff Daddy,Bad Boy For Life
2,Evel Knievel,Evel Speaks To The Kids
2,The Cramps,Human Fly
2,The Sugarhill Gang,Rapper's Delight (Ben Leibrand Mix)
2,Whispers,And The Beat Goes On
2,The Sugarhill Gang,Rapper's Delight
2,SL2,DJs Take Control
2,Beastie Boys,Brass Monkey
2,Golden Boy,It's Good For You To Meet People Like Us
2,Robin S,Show Me Love
2,Monsoon,Tomorrow Never Knows
2,Anthony King,Maladjusted Moogie
2,The Moldy Peaches,Downloading Porn With Davo
3,Intro,Dum dum dum dum
3,The Toes,Chrome Radio Rocks
3,Chemical Brothers,My Elastic Eye
3,The Sisters Of Mercy,Alice
3,Tubby Wailer,Feels So Good
3,Spencer Davis Group,Gimme Some Lovin
3,Beastie Boys,Girls
3,Cameo Parrish,Be Bop Mash (Don't Stop)
3,DJ Mixmaker,Party People Bounce
3,Run-D.M.C.,Ghostbusters
3,Girls On Top,I Wanna Dance With Numbers (Mashup)
3,Whitney Houston,I Wanna Dance With Somebody
3,Kraftwerk,Numbers
3,Mitsu,Shylight
3,Untitled,Mashup
3,Michael Jackson,Smooth Criminal
3,Michael Jackson,Billie Jean
3,The Rolling Stones,Miss You
3,Jollymusic,Radio Jolly
3,Talking Heads,I Zimbra
3,Daft Punk,Harder Stronger Better Faster
3,David Bowie,Fashion
3,DJ Naughty,All The Boys Look Superchic
3,Unknown,Unknown
3,Billy Preston,Nothing From Nothing
3,Jane's Addiction,Been Caught Stealing
3,Bounty Killer,It's A Party
3,Johnny Guitar Watson,A Real Mother For Ya
3,Unknown,Unknown
3,Captain Beefheart,Sure 'Nuff 'N Yes I Do
3,Phoney,Trans Pennine Express
3,Depeche Mode,I Feel You
4,Raw Sex,Suck It Deep (Intro)
4,Skkatter,Madonna Is A Filthy Slut
4,Chakka Khan,I Feel You (Soulwax Remix)
4,Standards,Here We Go
4,Peaches & Gonzales,Red Leather (Adam Goldstone Remix)
4,Michael Jackson,Billy Jean (Demo Version)
4,2 Live Crew,Live
4,Chemical Brothers,Come With Us
4,Angie Martinez,Dem Thangz
4,Dave Ball,Strict Tempo
4,The Weathermen,Poison
4,The Human League,Being Boiled
4,James Brown,Hot Pants
4,Darkus,The Wisemen Speech
4,Dexter,I Don't Care
4,Untitled,Mashup
4,Ladytron,Playgirl (Felix Da Housecat Glitz Club Mix)
4,Paul Simon,Late In The Evening
4,DJ Falcon,First
4,Tomba Vira,The Sound Of: Oh Yeah
4,Freelance Hellraiser,A Stroke Of Genius (Mashup)
4,Strokes,Hard To Explain
4,Christina Aguilera,Genie In A Bottle
4,B-52's,Private Idaho
4,Devo,Girl U Want
4,Monsoon,Ever So Lonely
4,P. Diddy & Black Rob & Mark Curry,Bad Boy For Life
4,Mink Deville,Spanish Stroll
4,Inner City,Good Life (Soulwax Remix)
4,Killing Joke,S.O.36
4,Coda,Honky Tonk Woman
4,Stereo Total,J'Aime L'Amour À Trois
