Show Number,Artist,Track Title
1,Intro,Everybody Wants To Be The DJ
1,dEUS,Everybody's Weird (Soulwax Remix)
1,The Clash,Magnificent Seven (Acapella)
1,Prince,Bob George
1,Mr. Oizo,Flat 55
1,Nice & Smooth,Funky For You
1,Beastie Boys,Intergalactic (Soulwax Remix)
1,Herbie Hancock,Rockit
1,INXS,Need You Tonight
1,AC/DC,Back In Black
1,INXS,Mediate
1,Run-D.M.C.,Peter Piper
1,Nice & Smooth,Funky For You
1,Arbeid Adelt,Death Disco
1,Soulwax,Saturday (Roger Manning Jr. Remix)
1,E.L.O.,Don't Bring Me Down
1,Steve Miller Band,Serenade From The Stars
1,Rod Stewart,Hot Legs
1,Flying Lizards,Purple Haze
1,Kolk,Uma (Soulwax Remix)
1,Stereo Total,Joe Le Taxi
1,Deejay Punk-Roc,My Beatbox (Les Rythmes Digitales Remix)
1,Basement Jaxx,Same Old Show
1,Donna Summer,I Feel Love
1,Giorgio Moroder,The Chase
1,Moloko,Sing It Back (Mousse T's Feel Love Mix)
1,Jamiroquai,Supersonic
1,Chemical Brothers,Out Of Control
2,Pharoahe Monch,Simon Says
2,Jerky Boys,My Name Is
2,Moby,Bodyrock
2,Simon Harris,Bass (How Low Can You Go)
2,MARRS,Pump Up The Volume
2,Bomb The Bass,Beat Dis
2,Paul Hardcastle,19
2,Public Enemy,(Turn It Up) Bring The Noise
2,Weathermen,Poison
2,DJ Spinna,Rock
2,Laurent Garnier,Sound Of The Big Babou
2,DJ Hell,Suicide Machine
2,101,Rock To The Beat
2,dEUS,Everybody's Weird (Soulwax Remix)
2,Les Liaisons Dangereuses,Los Niño Del Parque
2,Les Rythmes Digitales,Jacques Your Body
2,Freq Nasty,Boomin' Back Atcha
2,Beastie Boys,Shake Your Rump (Remix)
2,Neil,Cosmic Jam
3,Space Factory,Close Encounter Of The Third Kind
3,Alex Gopher,Party People
3,Prince,I Wanna Be Your Lover
3,Scritti Politti,Absolute
3,Talking Heads,Once In A Lifetime
3,Prince,1999
3,Sly Stone,Dance To The Music
3,Beck,Sexx Laws
3,Them,I Can Only Give You Everything
3,Blackstreet,No Diggity
3,Grandmaster Flash & Furious 5,The Message
3,Latyrx,Lady Don't Tek-no
3,Yarbrough & Peoples,Don't Stop The Music
3,Material,I'm The One
3,Brad,20th Century
3,Digital Underground,The Humpty Dance
3,Soulwax,Saturday (Roger Manning Jr. Remix)
3,John Keating,Jesus Christ Superstar
3,Cassius,La Mouche
3,Farley 'Jackmaster' Funk & Jesse Saunders,Love Can't Turn Around
3,Coldcut,Doctorin' The House
3,Jedi Knights,Nights In Arabia
3,Zita Swoon,My Bond With You And Your Planet: Disco! (Soulwax Remix)
3,"Julie Driscoll, Brian Auger & The Trinity",Indian Ropeman
3,Shirley Bassey,Light My Fire
3,Das Pop,Electronica For Lovers
3,Neil,Romantic Song
4,Handsome Boy Modeling School,Father Speaks (Intro)
4,Beastie Boys,Body Movin'
4,Maceo & The Macks,Cross The Tracks
4,Public Enemy,?
4,EMF,Unbelievable
4,Eric B. & Rakim,Paid In Full (Coldcut Remix)
4,Original Concept,Pump That Bass
4,Max Berlin,Elle Et Moi
4,MC Solaar,Le Nouveau Western
4,Air,Kelly Watch The Stars (Moog Cookbook Remix)
4,Roy Keating,Proud Mary
4,The Kinks,You Really Got Me
4,The Kinks,All Day & All Of The Night
4,The Rolling Stones,Satisfaction
4,Fatboy Slim,The Rockafeller Skank
4,Blur,Trade Stylee (Alex's Bugman Remix)
4,Blur,Girls & Boys
4,Jamiroquai,Supersonic (Remix)
4,Jaydee,Plastic Dreams
4,Cassius,La Mouche
4,Nine Inch Nails,Closer
5,Intro,Everybody Wants To Be The DJ
5,Skee-Lo,I Wish
5,Survivor,Eye Of The Tiger
5,The Breeders,Cannonball
5,Les Rythmes Digitales,Hey You What's That Sound
5,The Rocksteady Crew,Hey You The Rocksteady Crew
5,Beck,Sexx Laws (Malibu Remix)
5,Yazoo,Don't Go
5,Basement Jaxx,Jump N' Shout
5,Unknown,Batacuda / Brazilian Drums
5,Steppenwolf,Magic Carpet Ride (Philip Steir Remix)
5,Hawkwind,Silver Machine
5,Cookie Monster,C Is For Cookie
5,Dillinger,Cocaine In My Brain
5,Destiny's Child feat. Wyclef Jean,Bug A Boo (Refugee Camp Remix)
5,Del The Funky Homosapien,Mistadobalina
